ITEM_ID,MONTH_ID,UNITS_RECEIVED,MONTH_DURATION
1,201401,0,31
1,201402,10,28
1,201403,35,31
1,201404,30,30
1,201405,40,31
1,201406,25,30
1,201407,10,31
1,201408,60,31
1,201409,40,30
1,201410,30,31
1,201411,30,30
1,201412,60,31
1,201501,30,31
1,201502,50,28
1,201503,50,31
1,201504,40,30
1,201505,0,31
1,201506,50,30
1,201507,10,31
1,201508,20,31
1,201509,40,30
1,201510,0,31
1,201511,50,30
1,201512,60,31
1,201601,10,31
1,201602,50,28
1,201603,60,31
1,201604,70,30
1,201605,60,31
1,201606,60,30
1,201607,50,31
1,201608,80,31
1,201609,70,30
1,201610,60,31
1,201611,50,30
1,201612,80,31
2,201401,0,31
2,201402,20,28
2,201403,40,31
2,201404,20,30
2,201405,60,31
2,201406,40,30
2,201407,50,31
2,201408,30,31
2,201409,50,30
2,201410,50,31
2,201411,50,30
2,201412,60,31
2,201501,75,31
2,201502,70,28
2,201503,0,31
2,201504,120,30
2,201505,0,31
2,201506,100,30
2,201507,0,31
2,201508,80,31
2,201509,80,30
2,201510,80,31
2,201511,70,30
2,201512,60,31
2,201601,70,31
2,201602,60,28
2,201603,60,31
2,201604,50,30
2,201605,90,31
2,201606,100,30
2,201607,80,31
2,201608,70,31
2,201609,80,30
2,201610,60,31
2,201611,110,30
2,201612,100,31
3,201401,0,31
3,201402,60,28
3,201403,100,31
3,201404,40,30
3,201405,100,31
3,201406,50,30
3,201407,100,31
3,201408,60,31
3,201409,80,30
3,201410,100,31
3,201411,120,30
3,201412,120,31
3,201501,40,31
3,201502,100,28
3,201503,100,31
3,201504,130,30
3,201505,0,31
3,201506,330,30
3,201507,0,31
3,201508,0,31
3,201509,150,30
3,201510,100,31
3,201511,100,30
3,201512,140,31
3,201601,200,31
3,201602,80,28
3,201603,100,31
3,201604,110,30
3,201605,130,31
3,201606,140,30
3,201607,110,31
3,201608,200,31
3,201609,100,30
3,201610,120,31
3,201611,150,30
3,201612,150,31
4,201401,0,31
4,201402,30,28
4,201403,60,31
4,201404,30,30
4,201405,40,31
4,201406,50,30
4,201407,10,31
4,201408,60,31
4,201409,50,30
4,201410,10,31
4,201411,10,30
4,201412,20,31
4,201501,40,31
4,201502,10,28
4,201503,20,31
4,201504,30,30
4,201505,10,31
4,201506,20,30
4,201507,40,31
4,201508,60,31
4,201509,70,30
4,201510,0,31
4,201511,80,30
4,201512,80,31
4,201601,30,31
4,201602,50,28
4,201603,20,31
4,201604,90,30
4,201605,70,31
4,201606,30,30
4,201607,20,31
4,201608,30,31
4,201609,40,30
4,201610,50,31
4,201611,100,30
4,201612,90,31
5,201401,0,31
5,201402,30,28
5,201403,40,31
5,201404,30,30
5,201405,20,31
5,201406,50,30
5,201407,40,31
5,201408,30,31
5,201409,20,30
5,201410,40,31
5,201411,50,30
5,201412,50,31
5,201501,0,31
5,201502,50,28
5,201503,40,31
5,201504,60,30
5,201505,0,31
5,201506,70,30
5,201507,50,31
5,201508,40,31
5,201509,40,30
5,201510,50,31
5,201511,30,30
5,201512,80,31
5,201601,0,31
5,201602,30,28
5,201603,40,31
5,201604,40,30
5,201605,60,31
5,201606,40,30
5,201607,30,31
5,201608,60,31
5,201609,60,30
5,201610,60,31
5,201611,50,30
5,201612,70,31
6,201401,0,31
6,201402,30,28
6,201403,30,31
6,201404,40,30
6,201405,20,31
6,201406,30,30
6,201407,30,31
6,201408,30,31
6,201409,30,30
6,201410,50,31
6,201411,50,30
6,201412,20,31
6,201501,0,31
6,201502,80,28
6,201503,50,31
6,201504,50,30
6,201505,0,31
6,201506,60,30
6,201507,0,31
6,201508,100,31
6,201509,70,30
6,201510,0,31
6,201511,40,30
6,201512,30,31
6,201601,40,31
6,201602,60,28
6,201603,40,31
6,201604,40,30
6,201605,60,31
6,201606,30,30
6,201607,50,31
6,201608,60,31
6,201609,100,30
6,201610,50,31
6,201611,40,30
6,201612,80,31
7,201401,0,31
7,201402,20,28
7,201403,30,31
7,201404,0,30
7,201405,70,31
7,201406,20,30
7,201407,30,31
7,201408,40,31
7,201409,20,30
7,201410,30,31
7,201411,20,30
7,201412,80,31
7,201501,10,31
7,201502,50,28
7,201503,60,31
7,201504,50,30
7,201505,0,31
7,201506,90,30
7,201507,0,31
7,201508,60,31
7,201509,50,30
7,201510,0,31
7,201511,80,30
7,201512,40,31
7,201601,20,31
7,201602,80,28
7,201603,40,31
7,201604,60,30
7,201605,40,31
7,201606,50,30
7,201607,70,31
7,201608,40,31
7,201609,70,30
7,201610,40,31
7,201611,80,30
7,201612,60,31
8,201401,0,31
8,201402,50,28
8,201403,30,31
8,201404,40,30
8,201405,60,31
8,201406,50,30
8,201407,30,31
8,201408,60,31
8,201409,50,30
8,201410,40,31
8,201411,70,30
8,201412,100,31
8,201501,60,31
8,201502,80,28
8,201503,50,31
8,201504,100,30
8,201505,0,31
8,201506,80,30
8,201507,0,31
8,201508,60,31
8,201509,70,30
8,201510,80,31
8,201511,70,30
8,201512,70,31
8,201601,80,31
8,201602,60,28
8,201603,100,31
8,201604,50,30
8,201605,50,31
8,201606,80,30
8,201607,90,31
8,201608,100,31
8,201609,100,30
8,201610,90,31
8,201611,80,30
8,201612,100,31
9,201401,0,31
9,201402,50,28
9,201403,50,31
9,201404,0,30
9,201405,20,31
9,201406,30,30
9,201407,50,31
9,201408,60,31
9,201409,70,30
9,201410,80,31
9,201411,50,30
9,201412,60,31
9,201501,0,31
9,201502,48,28
9,201503,60,31
9,201504,120,30
9,201505,0,31
9,201506,130,30
9,201507,0,31
9,201508,90,31
9,201509,120,30
9,201510,0,31
9,201511,100,30
9,201512,80,31
9,201601,60,31
9,201602,90,28
9,201603,80,31
9,201604,80,30
9,201605,60,31
9,201606,100,30
9,201607,70,31
9,201608,100,31
9,201609,80,30
9,201610,60,31
9,201611,100,30
9,201612,100,31
10,201401,0,31
10,201402,50,28
10,201403,30,31
10,201404,0,30
10,201405,30,31
10,201406,30,30
10,201407,40,31
10,201408,50,31
10,201409,70,30
10,201410,40,31
10,201411,70,30
10,201412,70,31
10,201501,0,31
10,201502,60,28
10,201503,80,31
10,201504,110,30
10,201505,0,31
10,201506,60,30
10,201507,70,31
10,201508,80,31
10,201509,80,30
10,201510,50,31
10,201511,70,30
10,201512,40,31
10,201601,60,31
10,201602,50,28
10,201603,80,31
10,201604,100,30
10,201605,70,31
10,201606,100,30
10,201607,80,31
10,201608,80,31
10,201609,100,30
10,201610,50,31
10,201611,100,30
10,201612,110,31
11,201401,0,31
