DAY_DATE,MONTH_ID,QUARTER_ID,YEAR_ID,PREV_DAY_DATE,LM_DAY_DATE,LQ_DAY_DATE,LY_DAY_DATE
01-Jan-14,201401,20141,2014,31-Dec-13,01-Dec-13,01-Oct-13,01-Jan-13
02-Jan-14,201401,20141,2014,01-Jan-14,02-Dec-13,02-Oct-13,02-Jan-13
03-Jan-14,201401,20141,2014,02-Jan-14,03-Dec-13,03-Oct-13,03-Jan-13
04-Jan-14,201401,20141,2014,03-Jan-14,04-Dec-13,04-Oct-13,04-Jan-13
05-Jan-14,201401,20141,2014,04-Jan-14,05-Dec-13,05-Oct-13,05-Jan-13
06-Jan-14,201401,20141,2014,05-Jan-14,06-Dec-13,06-Oct-13,06-Jan-13
07-Jan-14,201401,20141,2014,06-Jan-14,07-Dec-13,07-Oct-13,07-Jan-13
08-Jan-14,201401,20141,2014,07-Jan-14,08-Dec-13,08-Oct-13,08-Jan-13
09-Jan-14,201401,20141,2014,08-Jan-14,09-Dec-13,09-Oct-13,09-Jan-13
10-Jan-14,201401,20141,2014,09-Jan-14,10-Dec-13,10-Oct-13,10-Jan-13
11-Jan-14,201401,20141,2014,10-Jan-14,11-Dec-13,11-Oct-13,11-Jan-13
12-Jan-14,201401,20141,2014,11-Jan-14,12-Dec-13,12-Oct-13,12-Jan-13
13-Jan-14,201401,20141,2014,12-Jan-14,13-Dec-13,13-Oct-13,13-Jan-13
14-Jan-14,201401,20141,2014,13-Jan-14,14-Dec-13,14-Oct-13,14-Jan-13
15-Jan-14,201401,20141,2014,14-Jan-14,15-Dec-13,15-Oct-13,15-Jan-13
16-Jan-14,201401,20141,2014,15-Jan-14,16-Dec-13,16-Oct-13,16-Jan-13
17-Jan-14,201401,20141,2014,16-Jan-14,17-Dec-13,17-Oct-13,17-Jan-13
18-Jan-14,201401,20141,2014,17-Jan-14,18-Dec-13,18-Oct-13,18-Jan-13
19-Jan-14,201401,20141,2014,18-Jan-14,19-Dec-13,19-Oct-13,19-Jan-13
